"StandartId";"StandardName";"WineColor"
58;"Primordial Soup Red Blend, Western Cape - South Africa / Red Wines";"Red Wines"
59;"Old Vine Cinsault, Percheron, Western Cape - South Africa / Red Wines";"Red Wines"
60;"Cabernet Franc/Malbec, Coterie by Wildeberg, Coastal Region - South Africa / Red Wines";"Red Wines"
61;"Le Riche 'Richesse', Stellenbosch - South Africa / Red Wines";"Red Wines"
62;"'The Blend', Gabrielskloof, Walker Bay - South Africa / Red Wines";"Red Wines"
63;"Malbec, The Bird, Showdown, California - USA / Red Wines";"Red Wines"
64;"'Old Vine' Zinfandel, Burlesque, Lodi, California - USA / Red Wines";"Red Wines"
65;"'Old Vine' Cabernet Franc, Cabaret Franc No2 'The Aviary', Lodi, California - USA / Red Wines";"Red Wines"
66;"Cabernet Sauvignon, 'Man with the Ax', Showdown, California - USA / Red Wines";"Red Wines"
67;"Merlot, Fog Mountain, California - USA / Red Wines";"Red Wines"
68;"Cabernet Sauvignon, Fog Mountain, California - USA / Red Wines";"Red Wines"
69;"Barbera, Giornata, Paso Robles, California - USA / Red Wines";"Red Wines"
70;"Merlot, Sierra Grande, Valle Grande - Chile / Red Wines";"Red Wines"
71;"Cabernet Sauvignon, Sierra Grande, Valle Grande - Chile / Red Wines";"Red Wines"
72;"Carmenere, Tradition Reserve, Chateau Los Boldos, Cachapoal Andes - Chile / Red Wines";"Red Wines"
73;"Pinot Noir, Aconcagua, Montes, Valle Central - Chile / Red Wines";"Red Wines"
74;"Les Oliviers Chardonnay, Vin de Pays d'Oc - France / White Wines";"White Wines"
75;"Pasquiers, Sauvignon Blanc/Vermentino, Vin de Pays d'Oc - France / White Wines";"White Wines"
76;"Colombard/Ugni Blanc, Les Betes Rousses, IGP Comte Tolosan - France / White Wines";"White Wines"
77;"Le Petit Chat, Vin de Pays d'Oc - France (The Long Little Dog Blanc) / White Wines";"White Wines"
78;"Picpoul de Pinet, Baron de Badassiere, Coteaux du Lanquedoc - France / White Wines";"White Wines"
79;"Melon Blanc 'Vendange Nocturne', Domaine de la Combe, Muscadet - France / White Wines";"White Wines"
80;"Touraine Sauvignon Blanc, Domaine Joel Delaunay, Loire - France / White Wines";"White Wines"
81;"Macon Village, Vincent Besson, Burgundy - France / White Wines";"White Wines"
82;"Bourgogne Chardonnay, Domaine Masse Pere et Fils, Cote Chalonnaise - France / White Wines";"White Wines"
83;"Petit Chablis, Domaine de la Motte, Chablis - France / White Wines";"White Wines"
84;"Pouilly Fume, de Maltaverne, Loire Valley - France / White Wines";"White Wines"
85;"Chablis, Domaine de la Motte, Burgundy - France / White Wines";"White Wines"
86;"Sancerre, Domaine du Pre Semele, Maimbray - France / White Wines";"White Wines"
87;"Pinot Grigio/Garganega, IGT delle Venezie - Italy / White Wines";"White Wines"
88;"Pinot Grigio, Ca'dei Lago, Terre Siciliane IGT - Italy / White Wines";"White Wines"
89;"Trebbiano, Colori d'Italia, Puglia - France / White Wines";"White Wines"
90;"Pergolino, Bianco Veronese, Verona - Italy / White Wines";"White Wines"
91;"Gavi 'La Battistina', Azienda Agricola La Battistina, Gavi - Italy / White Wines";"White Wines"
92;"Fiano 'Ciaca Bianca', Mandrarossa, Sicily - Italy / White Wines";"White Wines"
93;"Beneventano Falanghina, Vesevo, Campania - Italy / White Wines";"White Wines"
94;"'Dragon' Langhe Bianco, Luigi Baudana, Piedmont - Italy / White Wines";"White Wines"
95;"Lugana, 'Brolettino', Ca dei Frati, Lombardia - Italy / White Wines";"White Wines"
96;"Viura/Sauvignon Blanc, Fauno, Valencia - Spain / White Wines";"White Wines"
97;"Viura, Rioja Blanco, Bodegas Ontanon, Rioja - Spain / White Wines";"White Wines"
98;"Albarino, La Val Orballo, Bodegas La Val, Rias Baixas - Spain / White Wines";"White Wines"
99;"Verdejo/Sauvignon, K-Naia, Bodegas Naia, Rueda - Spain / White Wines";"White Wines"
100;"Naia, Bodegas Naia, Rueda - Spain / White Wines";"White Wines"
101;"Valencisco Rioja Blanco, Bodeguera de Valencisco, Rioja - Spain / White Wines";"White Wines"
102;"Valencisco Rioja Blanco, Bodeguera de Valencisco, Rioja - Spain - Magnum / White Wines";"White Wines"
103;"Vinho Verde, Vila Nova - Portugal / White Wines";"White Wines"
104;"Chardonnay, Soldier's Block, Victoria - Australia / White Wines";"White Wines"
105;"The Next Big Thing Chardonnay, Magpie Estate, Barossa Valley - Australia / White Wines";"White Wines"
106;"Rag and Bones Riesling, Magpie Estate, Eden Valley - Australia / White Wines";"White Wines"
107;"Enchanted Garden Riesling,Dandelion Vineyards - Australia / White Wines";"White Wines"
108;"Pinot Gris, Innocent Bystander, Yarra Valley - Australia / White Wines";"White Wines"
109;"The Cloudy Factory Sauvignon Blanc, Marlborough - New Zealand / White Wines";"White Wines"
110;"Sileni Cellar Selection Pinot Gris, Marlborough - New Zealand / White Wines";"White Wines"
111;"Tinpot Hut Sauvignon Blanc, Marlborough - New Zealand / White Wines";"White Wines"
112;"Primordial Soup White Blend, Western Cape - South Africa / White Wines";"White Wines"
113;"Chenin Blanc/Viognier, Percheron, Western Cape - South Africa / White Wines";"White Wines"
114;"Chenin Blanc, Wild House, Western Cape - South Africa / White Wines";"White Wines"
115;"Semillon/Sauvignon, Coterie by Wildeberg, Coastal Region - South Africa / White Wines";"White Wines"
116;"Sauvignon Blanc, Sierra Grande, Valle Central - Chile / White Wines";"White Wines"
117;"Chardonnay, Sierra Grande, Valle Central - Chile / White Wines";"White Wines"
118;"Riesling, Walt, Pfalz - Germany / White Wines";"White Wines"
119;"Chardonnay/Pinot Gris, 'Dixie', Kovacs Nimrod Winery, Eger - Hungary / White Wines";"White Wines"
120;"Chardonnay 'Battonage', Kovacs Nimros Winery, Eger - Hungary / White Wines";"White Wines"
